916,9.167,9.167,9.167,9.167,18.333,45.833,91.667,114.583,114.583,91.667,45.833,45.833,36.667,36.667,45.833,27.500,36.667,45.833,68.750,68.750,45.833,36.667,27.500,18.333,,,,,
918,3.148,3.148,3.148,3.148,6.296,15.741,31.481,39.352,39.352,31.481,15.741,15.741,12.593,12.593,15.741,9.444,12.593,15.741,23.611,23.611,15.741,12.593,9.444,6.296,,,,,,
919,6.435,6.435,6.435,6.435,12.870,32.176,64.352,80.440,80.440,64.352,32.176,32.176,25.741,25.741,32.176,19.306,25.741,32.176,48.264,48.264,32.176,25.741,19.306,12.870,,,,,,
917,5.324,5.324,5.324,5.324,10.648,26.620,53.241,66.551,66.551,53.241,26.620,26.620,21.296,21.296,26.620,15.972,21.296,26.620,39.930,39.930,26.620,21.296,15.972,10.648,,,,,,
1674,12.742,12.742,12.742,12.742,25.484,63.711,127.422,159.277,159.277,127.422,63.711,63.711,50.969,50.969,63.711,38.227,50.969,63.711,95.566,95.566,63.711,50.969,38.227,25.484,,,,,,
1675,3.981,3.981,3.981,3.981,7.963,19.907,39.815,49.769,49.769,39.815,19.907,19.907,15.926,15.926,19.907,11.944,15.926,19.907,29.861,29.861,19.907,15.926,11.944,7.963,,,,,,
2215,6.541,6.541,6.541,6.541,13.082,32.705,65.409,81.762,81.762,65.409,32.705,32.705,26.164,26.164,32.705,19.623,26.164,32.705,49.057,49.057,32.705,26.164,19.623,13.082,,,,,,
2225,6.968,6.968,6.968,6.968,13.935,34.838,69.676,87.095,87.095,69.676,34.838,34.838,27.870,27.870,34.838,20.903,27.870,34.838,52.257,52.257,34.838,27.870,20.903,13.935,,,,,,
2232,4.259,4.259,4.259,4.259,8.519,21.296,42.593,53.241,53.241,42.593,21.296,21.296,17.037,17.037,21.296,12.778,17.037,21.296,31.944,31.944,21.296,17.037,12.778,8.519,,,,,,
2243,4.745,4.745,4.745,4.745,9.491,23.727,47.454,59.317,59.317,47.454,23.727,23.727,18.981,18.981,23.727,14.236,18.981,23.727,35.590,35.590,23.727,18.981,14.236,9.491,,,,,,
2319,6.944,6.944,6.944,6.944,13.889,34.722,69.444,86.806,86.806,69.444,34.722,34.722,27.778,27.778,34.722,20.833,27.778,34.722,52.083,52.083,34.722,27.778,20.833,13.889,,,,,,
